WBGene00000421	C48B4.4a	ced-7,C48B4.4
WBGene00194737	Y50D7A.13a	Y50D7A.13
WBGene00022773	ZK616.3b	ZK616.3
WBGene00000421	C48B4.4b	ced-7,C48B4.4
WBGene00015307	C01G5.5	C01G5.5
WBGene00018622	F48G7.11a	nhr-190,F48G7.11
WBGene00011453	T04H1.8	ugt-56,T04H1.8
WBGene00194737	Y50D7A.13b	Y50D7A.13
WBGene00008645	F10C2.4	F10C2.4
WBGene00000421	C48B4.4c	ced-7,C48B4.4
WBGene00018622	F48G7.11b	nhr-190,F48G7.11
WBGene00000233	R11G10.1a	avr-15,R11G10.1
WBGene00006620	C07G1.1	svh-1,C07G1.1
WBGene00000421	C48B4.4d	ced-7,C48B4.4
WBGene00000233	R11G10.1b	avr-15,R11G10.1
WBGene00007110	B0035.11	leo-1,B0035.11
WBGene00004368	C32E8.7	ric-19,C32E8.7
WBGene00000233	R11G10.1c	avr-15,R11G10.1
WBGene00006161	F10A3.5	str-109,F10A3.5
WBGene00022189	Y71H2AR.2	Y71H2AR.2
WBGene00021054	W06A11.3	fbxb-118,W06A11.3
WBGene00009225	F28F8.8a	fbxa-94,F28F8.8
WBGene00022541	ZC190.7	ZC190.7
WBGene00009225	F28F8.8b	fbxa-94,F28F8.8
WBGene00010067	F54F7.7	dot-1.2,F54F7.7
WBGene00000636	F22D6.10	col-60,F22D6.10
WBGene00021336	Y34F4.1a	Y34F4.1
WBGene00021336	Y34F4.1b	Y34F4.1
WBGene00189995	C06E7.88	C06E7.88
WBGene00010343	F59F5.4	F59F5.4
WBGene00000148	ZC434.6a	aph-2,ZC434.6
WBGene00019999	R10H1.2a	srab-14,R10H1.2
WBGene00000148	ZC434.6b	aph-2,ZC434.6
WBGene00019999	R10H1.2b	srab-14,R10H1.2
WBGene00044290	B0035.18	B0035.18
WBGene00006198	T03E6.1	str-151,T03E6.1
WBGene00044365	F34D6.8	nspf-2,F34D6.8
WBGene00044078	T04A8.4a	tag-243,T04A8.4
WBGene00021790	Y51H7C.12a	Y51H7C.12
WBGene00044526	T28A11.22	T28A11.22
WBGene00044078	T04A8.4b	tag-243,T04A8.4
WBGene00021790	Y51H7C.12b	Y51H7C.12
WBGene00016747	C48C5.1	nmur-1,C48C5.1
WBGene00021157	Y4C6B.3a	Y4C6B.3
WBGene00021157	Y4C6B.3b	Y4C6B.3
WBGene00018380	F43C11.3	decr-1.1,F43C11.3
WBGene00005107	F07C4.3	srd-29,F07C4.3
WBGene00021157	Y4C6B.3c	Y4C6B.3
WBGene00005953	K09D9.10	srx-62,K09D9.10
WBGene00006242	F26G5.5	str-209,F26G5.5
WBGene00021386	Y37F4.5	Y37F4.5
WBGene00005955	K07C6.7	srx-64,K07C6.7
WBGene00021080	W08A12.3a	W08A12.3
WBGene00008063	C41G7.6	C41G7.6
WBGene00021080	W08A12.3b	W08A12.3
WBGene00009025	F21G4.4	phf-34,F21G4.4
WBGene00006375	F26D2.2	syp-1,F26D2.2
WBGene00015914	C17F4.8	C17F4.8
WBGene00044561	Y75D11A.6	Y75D11A.6
WBGene00020860	T27C10.7	nspd-10,T27C10.7
WBGene00012163	VZK822L.2	VZK822L.2
WBGene00017825	F26F4.1	cee-1,F26F4.1
WBGene00006230	F40F9.4	str-188,F40F9.4
WBGene00000122	M18.7a	aly-3,M18.7
WBGene00019572	K09E2.3	K09E2.3
WBGene00004950	F40E10.2	sox-3,F40E10.2
WBGene00006058	F54C1.9	sst-20,F54C1.9
WBGene00001112	Y106G6H.12a	duo-3,Y106G6H.12
WBGene00015610	C08F1.6	C08F1.6
WBGene00007932	C34D1.5a	zip-5,C34D1.5
WBGene00020835	T27A1.3a	T27A1.3
WBGene00001112	Y106G6H.12b	duo-3,Y106G6H.12
WBGene00006771	Y71G12B.11a	tln-1,Y71G12B.11
WBGene00008682	F11A10.1a	lex-1,F11A10.1
WBGene00007932	C34D1.5b	zip-5,C34D1.5
WBGene00020835	T27A1.3b	T27A1.3
WBGene00001112	Y106G6H.12c	duo-3,Y106G6H.12
WBGene00019381	K04C2.3a	K04C2.3
WBGene00006771	Y71G12B.11b	tln-1,Y71G12B.11
WBGene00008682	F11A10.1b	lex-1,F11A10.1
WBGene00007932	C34D1.5c	zip-5,C34D1.5
WBGene00013542	Y75B8A.5	lron-12,Y75B8A.5
WBGene00019381	K04C2.3b	K04C2.3
WBGene00006771	Y71G12B.11c	tln-1,Y71G12B.11
WBGene00077569	F53F4.18	F53F4.18
WBGene00006771	Y71G12B.11d	tln-1,Y71G12B.11
WBGene00043705	Y55F3AM.7a	egrh-2,Y55F3AM.7
WBGene00021936	Y55F3BL.2a	zipt-15,Y55F3BL.2
WBGene00006771	Y71G12B.11e	tln-1,Y71G12B.11
WBGene00015697	C10H11.8a	mlst-8,C10H11.8
WBGene00206356	T08B2.15	T08B2.15
WBGene00195168	T13C5.9	T13C5.9
WBGene00043705	Y55F3AM.7b	egrh-2,Y55F3AM.7
WBGene00021936	Y55F3BL.2b	zipt-15,Y55F3BL.2
WBGene00013521	Y73F8A.12	Y73F8A.12
WBGene00006771	Y71G12B.11f	tln-1,Y71G12B.11
WBGene00015697	C10H11.8b	mlst-8,C10H11.8
WBGene00043705	Y55F3AM.7c	egrh-2,Y55F3AM.7
WBGene00003682	Y41D4B.8	nhr-92,Y41D4B.8
WBGene00006771	Y71G12B.11g	tln-1,Y71G12B.11
WBGene00000210	C53B7.4	asg-2,C53B7.4
WBGene00043705	Y55F3AM.7d	egrh-2,Y55F3AM.7
WBGene00009189	F27D4.4a	F27D4.4
WBGene00009189	F27D4.4b	F27D4.4
WBGene00019545	K09B3.1a	K09B3.1
WBGene00044184	F11A5.16	F11A5.16
WBGene00019545	K09B3.1b	K09B3.1
WBGene00019545	K09B3.1c	K09B3.1
WBGene00015052	B0218.8	clec-52,B0218.8
WBGene00012973	Y48A6B.13a	spat-2,Y48A6B.13
WBGene00013773	Y116A8A.2	Y116A8A.2
WBGene00012973	Y48A6B.13b	spat-2,Y48A6B.13
WBGene00021967	Y57G7A.3a	Y57G7A.3
WBGene00012973	Y48A6B.13c	spat-2,Y48A6B.13
WBGene00013668	Y105E8A.3	Y105E8A.3
WBGene00021967	Y57G7A.3b	Y57G7A.3
WBGene00002191	B0205.7	kin-3,B0205.7
WBGene00012973	Y48A6B.13d	spat-2,Y48A6B.13
WBGene00016545	C40A11.2	C40A11.2
WBGene00012973	Y48A6B.13e	spat-2,Y48A6B.13
WBGene00007018	C55B7.9a	mdt-18,C55B7.9
WBGene00012973	Y48A6B.13f	spat-2,Y48A6B.13
WBGene00007018	C55B7.9b	mdt-18,C55B7.9
WBGene00019891	R05F9.7	R05F9.7
WBGene00012973	Y48A6B.13g	spat-2,Y48A6B.13
WBGene00012973	Y48A6B.13h	spat-2,Y48A6B.13
WBGene00018618	F48G7.7	F48G7.7
WBGene00012973	Y48A6B.13i	spat-2,Y48A6B.13
WBGene00005402	F10G2.8	srh-187,F10G2.8
WBGene00015157	B0361.3	B0361.3
WBGene00013557	Y75B8A.24	Y75B8A.24
WBGene00206392	F47D2.11	F47D2.11
WBGene00004766	W02D7.7	sel-9,W02D7.7
WBGene00007476	C09E9.1a	C09E9.1
WBGene00007476	C09E9.1b	C09E9.1
WBGene00007476	C09E9.1c	C09E9.1
WBGene00007476	C09E9.1d	C09E9.1
WBGene00013795	Y116A8C.18	nhr-229,Y116A8C.18
WBGene00194933	T12A7.10	T12A7.10
WBGene00010585	K05C4.9	K05C4.9
WBGene00006792	T06H11.1a	unc-58,T06H11.1
WBGene00017510	F16B4.9	nhr-178,F16B4.9
WBGene00006792	T06H11.1b	unc-58,T06H11.1
WBGene00006829	K11D2.3a	unc-101,K11D2.3
WBGene00010785	K12D12.1	top-2,K12D12.1
WBGene00045207	F13E9.14	F13E9.14
WBGene00006829	K11D2.3b	unc-101,K11D2.3
WBGene00021931	Y55F3AM.14	Y55F3AM.14
WBGene00006829	K11D2.3c	unc-101,K11D2.3
WBGene00003831	C09H10.3	nuo-1,C09H10.3
